SN,Screen,Role,Tag,Id,href,src,EnText,ZhText,HiText,EsText,ArText,FrText,BnText,PtText,RuText,UrText
1,Home,Background,,,,https://desertengineer.github.io/EnglishApps/AppAssets/HomeBackground.png,,,,,,,,,,
2,Home,Title,h1,home-title,,,English Words Fun, 英语单词趣味, अंग्रेजी शब्दों का मज़ा,Diversión con palabras, متعة الكلمات الإنجليزية, Mots Anglais Amusants, ইংরেজি শব্দের মজা,Diversão com Palavras, Веселые английские слова, انگریزی الفاظ का مزہ
3,Home,Hamburger menu,div,dropdown-menu,,,,,,,,,,,,
4,Home,Hamburger menu,a,,,,About Us,关于我们,हमारे बारे में,Sobre nosotros,من نحن,À propos de nous,আমাদের সম্পর্কে,Sobre Nós,О нас,ہمارے بارے میں
5,Home,Hamburger menu,a,,,,Share App,分享应用,शेयर ऐप,Compartir app,تطبيق المشاركة,Partager l’application,শেয়ার অ্যাপ,Aplicativo de Compartilhamento,Приложение для обмена,شیئر ایپ
6,Home,Hamburger menu,a,,,,Privacy Policy,隐私政策,गोपनीयता नीति,Política de privacidad,سياسة الخصوصية,Politique de confidentialité,গোপনীয়তা নীতি,Política de Privacidade,Политика конфиденциальности,پرائیویسی پالیسی
7,Home,Hamburger menu,a,,,,Rate Us,给我们评分,हमें रेट करें,Valora,قيمنا,Notez-nous,আমাদের রেট দিন,Avalie-nos,Оцените нас,ہمیں ریٹ کریں
8,Home,Hamburger menu,a,,,,Contact Us,联系我们,संपर्क करें,Contáctanos,تواصل معنا,Contactez-nous,আমাদের সাথে যোগাযোগ করুন,Entre em contato conosco,Связаться с нами,ہم سے رابطہ کریں
9,Home,Banner,img,home-banner,,https://desertengineer.github.io/EnglishApps/AppAssets/HomeBanner.png,,,,,,,,,,
10,Home,Language Trigger,div,lang-trigger,,,Select your language,选择一种语言开始,शुरू करने के लिए एक भाषा चुनें,Elija un idioma para comenzar,اختر لغة للبدء,Choisissez une langue pour commencer,শুরু করতে একটি ভাষা নির্বাচন করুন,Escolha um idioma para começar,Выберите язык чтобы начать,شروع کرنے کے لیے ایک زبان منتخب کریں
11,Home,Languages Grid,div,flag-container,,,,,,,,,,,,
12,Home,Language Link,a,,go:Categories,,,,,,,,,,,
13,Home,Language Link,a,,go:Categories,,,,,,,,,,,
